CommonName,ScientificName,TreeImage,Description,TreeNumber,Tree Tour Index,TreeOnTour,NumberOnTour,GeorgiaNative,BeeTree,Type of Tree (tempation),Shape,Leaf Attachment,Leaf Type,Flowering,Flower Color,Cone/Fruit Type,Country of Origin,Habitat,Range,Fall Color
Persian Ironwood,Parrotia persica,01381_Parrotia_persica.JPG,"Native to northern Iran and southern Azerbaijan, this tree is cultivated as an ornamental tree for its stunning autumn color and the smooth, patterned bark.  The leaves have wavy margins; they are glossy and green, turning a rich purple to brilliant red in autumn.",1381,2,Hill Tour,11,FALSE,FALSE,deciduous,Vase Shaped,Alternate,Toothed Simple,TRUE,Red,Pods,Iran,,,"Orange, Yellow, Red"
Common Witch-hazel,Hamamelis virginiana,13174_Hammamelis_virginiana.JPG,"Native to the eastern United States including Georgia, Native Americans produced witch hazel extract by boiling the stems of the shrub and producing a decoction used to treat swellings, inflammations, and tumors. Pond’s Extract was a popular distillation of the bark in dilute alcohol. The forked twigs of witch hazel are preferred as divining rods.",13174,2,Hill Tour,12,FALSE,TRUE,deciduous,"Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE,Yellow,Capsule,North America,,,Yellow
Saucer Magnolia,Magnolia x soulangiana,01504_Magnolia_x_soulangiana.jpg,"This hybrid plant has large, early-blooming ?owers that emerge dramatically in various shades of white, pink, and purple.  The tree is noted for its ease of cultivation and its relative tolerance to wind and alkaline soils, two vulnerabilities of many other magnolias.",1504,2,Hill Tour,13,FALSE,FALSE,deciduous,Spreading,Alternate,Untoothed Simple,TRUE,"Pink, White",Conelike,Hybrid,,,Yellow
Water Oak,Quercus nigra,01483_Quercus_nigra.jpg,"Native to the lower central United States including Georgia, this tree grows best in well-drained yet moist soils.  It must have access to full sun as it does not tolerate shade.  This tree is relatively short-lived and used for fuel and timber.",1483,2,Hill Tour,14,TRUE,FALSE,deciduous,"Conical, Rounded",Alternate,Lobed Simple,TRUE,Brown,Acorns,North America,,,Yellow
Douglas Fir,Pseudotsuga menziesii,01451_Pseudotsuga_menziesii.jpg,"Indigenous to western North America, this tree yields more timber than any other tree in North America.  It is also popularly used as a Christmas tree.  The buds have been used to ?avor eau de vie, a clear, colorless fruit brandy.",1451,2,Hill Tour,15,FALSE,FALSE,coniferous,Pyramid,Alternate,Needle Like Conifers,TRUE,Red,Conelike,North America,,,Green
Chinese Juniper,Juniperus chinensis,04655_Juniperus_chinensis.JPG,"Native to northeastern Asia, this tree is a popular ornamental tree or shrub in gardens and parks and has more than 100 named cultivars.  This tree is widely used in the art of bonsai.",4655,2,Hill Tour,16,FALSE,FALSE,coniferous,Pyramid,Opposite,Scale Leaf Conifers,TRUE,"Brown, Yellow, Green",Conelike,"China, Mongolia, Japan",,,Green
Leyland Cypress,Cupressocyparis leylandii,04667_Cupressocyparis_leylandii.JPG,"This evergreen tree is known for its rapid, thick growth.  It is primarily used as hedges and screens as a means of enforcing privacy.  For many years it was the biggest-selling item in every garden centre in Great Britain.",4667,2,Hill Tour,17,FALSE,FALSE,coniferous,"Pyramid, Columnar",Opposite,Scale Leaf Conifers,TRUE,White,Conelike,Hybrid,,,Green
Camellia,Camellia japonica,02033_Camelia_japonica.JPG,"Indigenous to China, Taiwan, South Korea, and Japan, this tree is related to Camellia sinensis, which is used to make tea.  Camellias are commonly seen as lucky symbols for the Chinese New Year. ",2033,2,Hill Tour,18,FALSE,FALSE,coniferous,Broad,Alternate,Toothed Simple,TRUE,"Pink, White, Red, Yellow","Balls, Capsules, Tufted Fruit","China, Korea",,,Green
Higan cherry,Prunus subhirtella,04685_Prunus_subhirtella.JPG,"Indigenous to Japan, this tree is widely grown for its propensity to flower during mild winter weather.  The tree bears white to pink flowers which may emerge intermittently from autumn through to spring, in addition to a small black fruit.",4685,2,Hill Tour,19,FALSE,TRUE,deciduous,Weeping,Alternate,Toothed Simple,TRUE,Pink,Fleshy Fruit,Japan,,,Yellow
Sasanqua Camellia,Camellia sasanqua,04684_Camelia_sasanqua.JPG,"Native to China and Japan, this tree is used to make tea.  The seeds or nuts are used to make tea seed oil, which has a higher calori?c content than any other edible oil available naturally in Japan and is used for lighting, lubrication, cooking, and cosmetic purposes.",4684,2,Hill Tour,20,FALSE,FALSE,coniferous,Conical,Opposite,Toothed Simple,TRUE,"Pink, White, Red",Capsule,"China, Japan",,,Green
Hinoki Cypress,Chamaecyparis obtusa,01986_Chamaecyparis_obtusa.JPG,"This tree is prized for its high-quality timber and is native to central Japan, where it is used as a material for building palaces, temples, shrines, traditional Noh theatres, baths, table tennis blades, and Masu.  The wood is lemon-scented and is highly rot-resistant.",1986,2,Hill Tour,21,FALSE,FALSE,coniferous,Pyramid,Opposite,Scale Leaf Conifers,TRUE,Yellow,Cones,Japan,,,Green
Kwanzan cherry,Prunus serrulata,01978_Prunus_serrulata.JPG,"Indigenous to Japan, Korea, and China, this tree is noted for its spring cherry blossom displays and festivals.  The National Cherry Blossom Festival is a spring celebration in Washington, D.C., commemorating the 1912 A.D. gift of this tree to the city of Washington, D.C. from Tokyo, Japan.",1978,2,Hill Tour,22,FALSE,TRUE,deciduous,Vase Shaped,Alternate,Toothed Simple,TRUE,Pink,Fleshy Fruit,"China, Korea. Japan",,,"Yellow, Orange, Copper"
Sycamore tree,Platanus occidentalis,01975_Platanus_occidentalis.JPG,"This tree is able to endure a city environment. The wood is used to make butcher’s blocks, boxes, and crates.  The terms under which the New York Stock Exchange was formed are called the “Buttonwood Agreement” after it was signed under a buttonwood (sycamore) tree at 68 Wall Street in 1792.",1975,2,Hill Tour,23,TRUE,FALSE,deciduous,"Broad, Pyramid, Rounded",Alternate,Lobed Simple,TRUE,Red,"Balls, Capsules, Tufted Fruit",North America,,,Yellow
Two-wing silverbell,Halesia diptera,01973_Halesia_diptera.JPG,"Indigenous to the southeastern United States including Georgia, this tree is cultivated as an ornamental tree.  It bears white ?owers and fruit that is a dry drupe with two wings down the sides.",1973,2,Hill Tour,24,TRUE,FALSE,coniferous,Spreading,Alternate,Toothed Simple,TRUE,White,Pods,North America,,,Green
Chinese pistache,Pistacia chinensis,01797_Pistacia_chinensis.JPG,"Native to central and western China, the oil from the seed of this tree is used in biodiesel production and the wood is used to create furniture, yielding a yellow dye.  Horticulturally, the tree is a popular choice as a street tree in urban settings because it is very drought-tolerant and can survive harsh environments. ",1797,2,Hill Tour,25,FALSE,FALSE,deciduous,"Rounded, Vase Shaped, Spreading",Alternate,Compound,TRUE,Red,Berrylike Fruit,China,,,"Red, Orange"
Bay magnolia,Magnolia virginiana,02071_Magnolia_virginiana.JPG,"Native to the southeastern and coastal United States and valued for its evergreen foliage, this tree is used in horticultural applications to give an architectural feel to landscape designs.  It is an attractive tree for parks and large gardens, grown for its large, conspicuous, scented ?owers, its clean, attractive foliage, and its fast growth. ",2071,1,Tech Green Tour,1,TRUE,FALSE,coniferous,Rounded,Alternate,Untoothed Simple,TRUE,White,Cones,Atlantic Costal Plain,,,Green
Fraser photinia,Photinia x fraseri,02016_Photinia_x_fraseri.JPG,The red color of the new leaves in spring contrasted against the dark evergreen older leaves has given the plantthe popular name Red Robin.,2016,1,Tech Green Tour,2,FALSE,FALSE,coniferous,Oval,Alternate,Untoothed Simple,TRUE,White,Berrylike Fruit,Hybrid,,,"Green, Red"
Trident Maple,Acer buergerianum,02051_Acer_buergerianum.JPG,"Indigenous to eastern China, this tree is widely grown in temperate regions as an ornamental tree and is a popular choice for the art of bonsai.",2051,1,Tech Green Tour,3,FALSE,FALSE,deciduous,"Oval, Rounded",Opposite,Lobed Simple,TRUE,Yellow,Keys,"China, Japan",,,"Red, Orange, Yellow"
Northern Red Oak,Quercus rubra,02056_Quercus_bicolor.JPG,"Native to the state of Georgia, this tree prefers fertile, sandy soil with good drainage.  Fruiting may not occur until tree is 40 years old.  This tree is one of the most important lumber oaks, as it is long-lived and can survive up to around 500 years.",2056,1,Tech Green Tour,4,TRUE,FALSE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Brown,Acorns,North America,,,Red
Willow Oak,Quercus phellos,02084_Quercus_phellos.JPG,"“Red oak wood” is marketed for pulp and paper production and lumber.  Due to its rapid growth, balance between axial and radial dominance, ability to withstand sun and shade, and full crown, it is a popular ornamental tree.  It often grows larger than expected, leading to cracked sidewalks.",2084,1,Tech Green Tour,5,TRUE,FALSE,deciduous,"Conical, Rounded",Alternate,Untoothed Simple,TRUE,Brown,Acorns,United States,,,Yellow
Yellow wood,Cladrastis kentukea,00694_Cladrastis_kentukea.JPG,"A rare tree indigenous to eastern North America including Georgia, the name of this tree is derived from its yellow heartwood.  It is used in small amounts for specialist furniture, gunstocks, and decorative woodturning.",694,1,Tech Green Tour,6,TRUE,FALSE,deciduous,"Rounded, Broad",Alternate,Compound,TRUE,White,Pods,United States,,,"Copper, Yellow"
Cabbage palm,Sabal palmetto,02121_Sabal_palmetto.JPG,"Indigenous to the lower southeastern United States including Georgia, this tree is salt and drought tolerant.  It is cultivated as a food source and is the origin of “hearts of palm,” a vegetable harvested from the inner core and growing bud of the tree.  The trunks are used to make wharf piles.",2121,1,Tech Green Tour,7,TRUE,FALSE,coniferous,Rounded,Whorled,Yuccas and Palmettos,TRUE,White,Berrylike Fruit,United States,,,Green
Princeton Elm,Ulmus americana ‘Princeton’,04836_Ulmas_americana_princeton.JPG,‘Princeton’ is an older cultivar with an extremely rapid growth rate. It was propagated in 1922 and planted along Washington Ave at the entrance to Princeton University in New Jersey. It tolerates Dutch elm disease well and has the nice classic American elm shape. It may have the best form of all the Ulmus americana cultivars.,4836,1,Tech Green Tour,8,FALSE,FALSE,deciduous,"Broad, Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE,Green,Keys,North America,,,Yellow
Star Magnolia,Magnolia stellata,00742_Magnolia_stellata.JPG,"This tree bears large, showy, white or pink flower in early spring, before its leaves open.  Star magnolia is native to Japan. It was introduced into cultivation in 1862.",742,1,Tech Green Tour,9,FALSE,FALSE,deciduous,Rounded,Alternate,Untoothed Simple,TRUE,White,Pods,Japan,,,"Yellow, Copper"
Black Walnut,Juglans nigra,12232_Juglans_nigra.JPG,"Native to eastern North America including Georgia, the nuts of this tree are shelled commercially in the United States.  Popular uses include ice cream, bakery goods and confections.  The walnuts have the capability to stain cars, sidewalks, porches, and patios.  The brownish-black dye was used by early American settlers to dye hair.",12232,1,Tech Green Tour,10,TRUE,FALSE,deciduous,Rounded,Alternate,Compound,TRUE,Green,Nuts,North America,,,Green
Pignut Hickory,Carya glabra,12269_Carya_glabra.JPG,"Common in the eastern United States and native to Georgia, this tree is considered a “soil improver” because the leaves have a relatively high calcium content.  The nuts and bark provide food to many kinds of wildlife.  With its high heating value, hickory is used to heat homes.",12269,1,Tech Green Tour,11,TRUE,FALSE,deciduous,Spreading,Alternate,Compound,TRUE,Green,Nuts,North America,,,Yellow
Bald cypress,Taxodium distichum,03501_Taxodium_distichum.JPG,"Native to the Mississippi Delta region and other areas of the lower coastal United States including Georgia, this tree is recognized by its pronounced “knees” surrounding the trunk.  As it grows primarily in wetlands, the lumber is extremely water resistant.  When clumped in forests it creates a productive ecosystem.",3501,1,Tech Green Tour,12,TRUE,FALSE,deciduous,Pyramidal,Alternate,Needle Like Conifers,TRUE,Brown,Cone,North America,,,"Yellow, Copper"
Winged Elm,Ulmus alata,03491_Ulmus_alata.JPG,"Indigenous to the southeastern United States including Georgia, this tree can grow in a wide range of soils but the wood is not particularly useful in the lumber industry.  It is, however, valued for its use in the creation of hockey sticks.",3491,1,Tech Green Tour,13,TRUE,FALSE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,Green,Keys,United States,,,Yellow
Wax Myrtle,Myrica cerifera,03492_Myrica_cerifera.JPG,"The wax coating on the fruit of this tree, known as Bayberry wax, has been traditionally used to make candles.  The foliage can be used by campers as insect repellent.  The fruit is an economically important crop in China, sold fresh, dried, canned, juiced, and for alcoholic beverages, and in Denmark for spicing beer and snaps.",3492,1,Tech Green Tour,14,TRUE,FALSE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,Green,Berrylike Fruit,United States,,,Green
Cherry Bark Oak,Quercus pagoda,12934_Quercus_pagoda.JPG,"Because of the tree’s good form and quality, it is regarded as one of the best red oaks. The light reddish-brown wood is used for interior finishing, veneer, furniture, and cabinets. Many wildlife species consume the acorn, including both the gray and fox squirrel, deer, raccoon, and many birds (wild turkey, blue jay, wood duck, and grackle).",12934,1,Tech Green Tour,15,TRUE,FALSE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Green,Acorns,United States,,,"Red, Green"
Japanese Pagoda,Sophora japonica,12992_Sophora_Japonica.JPG,"Although not native to Japan (the tree is native to China and Korea), the name of this tree comes from Japanese use around their Buddhist Temples.  This tree is drought-tolerant.  It has been cultivated for its medicinal qualitites relating to the circulatory system.  ",12992,1,Tech Green Tour,16,FALSE,TRUE,deciduous,Rounded,Alternate,Compound,TRUE,White,Pods,China,,,Yellow
Mockernut Hickory,Carya tomentosa,12916_Carya_tomentosa.JPG,"Native to the state of Georgia, this tree is also known as Carya alba, and the wood is the preferred hickory for smoking hams.  The common name refers to the large fruits that, once husked and shelled, yield very little substance. ",12916,1,Tech Green Tour,17,TRUE,FALSE,deciduous,Rounded,Alternate,Compound,TRUE,Green,Nuts,United States,,,Yellow
Chinese Fringe Tree,Chionanthus retusus,13044_Chionanthus_retusus.JPG,"Native to eastern Asia, in eastern and central China, Taiwan, Korea, and Japan, this tree is typically denser and larger than the predominant native spieces Chionanthus virginicus.  The fruit of the tree is a good food source for birds and wildlife. ",13044,1,Tech Green Tour,18,FALSE,FALSE,deciduous,"Rounded, Vase Shaped",Opposite,Untoothed Simple,TRUE,White,Berrylike Fruit,"China, Korea, Japan",,,Yellow
Luster Leaf Holly,Ilex latifolia,13046_Ilex_latifolia.JPG,Luster Leaf holly is native to southern Japan and eastern and southern China.  It is cultivated as an ornamental tree in parks and temple gardens. The leaves may be infused to make tea. ,13046,1,Tech Green Tour,19,FALSE,FALSE,coniferous,"Rounded, Pyramid",Alternate,Toothed Simple,TRUE,Yellow,Berrylike Fruit,"China, Japan",,,Green
Osage Orange,Maclura pomifera,13043_Maclura_pomifera.JPG,"When dried, the wood has the highest BTU content of any commonly available North American wood, and burns long and hot.  In Arkansas, in the early 19th century, a good Osage bow was worth a horse and a blanket.  A yellow-orange dye can be extracted from the wood, which can be used as a substitute for fustic and aniline dyes. ",13043,1,Tech Green Tour,20,FALSE,FALSE,deciduous,Rounded,Alternate,Untoothed Simple,TRUE,Green,Fleshy Fruit,North America,,,Yellow
Valley Forge Elm,Ulmus americana ‘Valley Forge',12921_Ulmas_americana_Valley_Forge.JPG,‘Valley Forge’ was released to wholesale nurseries without patent restrictions by the U. S. National Arboretum in 1995 after proving to have a resistance to Dutch elm disease.  It has proven the most resistant of all the American Elm cultivars to Dutch elm disease. It is also very resistant to the elm leaf beetle.,12921,1,Tech Green Tour,21,FALSE,FALSE,deciduous,"Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE, Green,Keys,North America,,,Yellow
European hornbeam,Carpinus betulus,03266_Carpinus_betulus.JPG,"Native to western Asia and central, eastern, and southern Europe, the wood is used in objects where a very hard wood is required, including carving boards, tool handles, coach wheels, piano actions, and gear pegs in simple machines such as traditional windmills.",3266,1,Tech Green Tour,22,FALSE,FALSE,deciduous,"Oval, Vase Shaped",Alternate,Toothed Simple,TRUE,White,Nuts,"Asia, Europe",,,Yellow
Live Oak,Quercus virginiana,12376_Quercus_virginiana.JPG,"Native to the southeastern U.S. including Georgia, the branches host plants such as Spanish moss, ball moss, and resurrection fern, providing shelter for wildlife. Native Americans bent branches for trail markers and the USS Constitution was constructed from live oak harvested on St. Simons Island, GA.",12376,1,Tech Green Tour,23,TRUE,FALSE,coniferous,Spreading,Alternate,Untoothed Simple,TRUE,Brown,Acorns,United States,,,Green
American snowbell,Styrax americanus,01921_Styrax_americanus.JPG,"Indigenous to the southeastern United States including Georgia, this tree is host to Promethea Moth.  It generally grows in swamps, ?oodplains, and other similar wetlands.",1921,1,Tech Green Tour,24,TRUE,FALSE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,White,Drupes,United States,,,Yellow
Fringe Tree,Chionanthus virginicus,02129_chionanthus_virginicus.JPG,"Native to the southeastern United States including Georgia, the dried roots and bark were used by Native Americans to treat skin inflammations.  The crushed bark was used in treatment of sores and wounds.  The fruit provides a good food source for birds and wildlife.",2129,1,Tech Green Tour,25,TRUE,FALSE,deciduous,"Oval, Rounded",Opposite,Untoothed Simple,TRUE,White,Berrylike Fruit,United States,,,Yellow
American Beech,Fagus grandifolia,02350_Fagus_grandifolia.JPG,"Native to eastern North America including Georgia, this is an important tree in forestry.  Because the wood is heavy, hard, and strong, it was not used for construction until the advent of power tools in the 20th century.  It is now used in ?ooring, furniture, and other woodenware.",2350,3,Central Campus Tour,1,TRUE,FALSE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,"Yellow, Red",Nuts,North America,,,"Brown, Yellow"
Eastern Red Cedar,Juniperus virginiana,02375_Juniperus_viginiana.JPG,"In the Missouri and Arkansas, this tree is commonly used as a Christmas tree.  The aromatic wood is avoided by moths, so it is used in dressers and closets.  Native Americans used poles to mark out agreed tribal hunting territories, and French traders named Baton Rouge, LA, (meaning “red stick”) from the reddish color of the poles.",2375,3,Central Campus Tour,2,TRUE,FALSE,coniferous,Columnar,Whorled,Scale Leaf Conifers,TRUE,"Yellow, Green",Cones,North America,,,Green
Tulip Poplar,Liriodendron tulipifera,02391_Liriodendron_tulipifera.JPG,"Native to Georgia, this tree bears the wood of choice for use in organs.  Its tall and rapid growth is a function of its shade intolerance; it grows much slower in the sun.  This tree species is a major honey plant, receiving mixed reviews as a table honey but favorably regarded by bakers.  Nectar is produced in the orange parts of the ?owers.",2391,3,Central Campus Tour,3,TRUE,FALSE,deciduous,Oval,Alternate,Lobed Simple,TRUE,Green,keys,United States,,,Yellow
Kousa Dogwood,Cornus Kousa,02392_Cornus_kousa.JPG,"Indigenous to eastern Asia, this tree turns a showy red color in fall.  It is widely planted as an ornamental tree in areas affected by the dogwood anthracnose disease.  The berries are sweet and sometimes used in making wine.",2392,3,Central Campus Tour,4,FALSE,FALSE,deciduous,Rounded,Opposite,Untoothed Simple,TRUE,White,Berries,"China, Korea, Japan, Sikkim, Bhutan",,,"Purple, Red"
Bottlebrush buckeye,Aesculus parviflora,02401_Aesculus_parviflora.JPG,"This tree is grown as an ornamental plant in gardens where its August flowering attracts butterflies.  Naturalist William Bartram first noted this shrub on his travels through Carolina, Georgia, and Florida from 1773 to 1778 AD.",2401,3,Central Campus Tour,5,TRUE,TRUE,deciduous,Spreading,Opposite,Compound,TRUE,White,Capsule,United States,,,Yellow
River Birch,Betula nigra,02407_Betula_nigra.JPG,"Native to the eastern United States including Georgia, this tree is one of the few heat-tolerant trees in the Birch family.  Native Americans used the boiled sap as a sweetener similar to maple syrup and the inner bark as a survival food.  Yellow-bellied sapsuckers peck holes in the bark to feed on the sap.",2407,3,Central Campus Tour,6,TRUE,FALSE,deciduous,"Pyramid, Oval",Alternate,Toothed Simple,TRUE,"Yellow, Green",Cones,United States,,,Yellow
Oklahoma Redbud,Cercis reniformis,02561_Cercis_reniformis.JPG,"Indigenous to southwestern North America including Texas, this tree is similar to the Eastern Redbud.  The seeds are a food source for wildlife.  The tree bears very shiny, leathery leaves, purple seedpods, and dark pink to bright red flowers.",2561,3,Central Campus Tour,7,FALSE,FALSE,deciduous,"Rounded, Vase Shaped",Alternate,Untoothed Simple,TRUE,Pink,Pods,North America,,,Yellow
American Hornbeam,Carpinus caroliniana,00928_Carpinus_caroliniana.JPG,"Indigenous to the eastern United States including Georgia, the wood is heavy and hard.  It is used to create tool handles, longbows, walking sticks, walking canes, and golf clubs.",928,3,Central Campus Tour,8,TRUE,FALSE,deciduous,"Broad, Rounded",Alternate,Toothed Simple,TRUE,"Red, Green",Nuts,North America,,,Orange
European Hornbeam,Carpinus betulas ‘fastigiata’,12496_Carpinus_betulas_fastigiata.JPG,"The smooth, grey, rippling bark shields the extremely hard, strong wood. This wood is so solid it was reportedly used by the ancient Romans to make chariots, as well as being used by the American pioneers to make yokes for their oxen.",12496,3,Central Campus Tour,9,FALSE,FALSE,deciduous,"Columnar, Pyramid",Alternate,Toothed Simple,TRUE,White,Nuts,"Asia, Europe",,,Yellow
Green Ash,Fraxinus pennsylvanica,02323_Fraxinus_pennsylvanica.JPG,"This is one of the most popular boulevard trees throughout the U.S. and Canada due to its good form and tolerance of urban conditions.  Gibson, Fender, and Warwick, among others, use the wood to make guitars because it can be somewhat lighter than white ash without sacri?cing in tone. It has a bright sound and the wood is desirable.",2323,3,Central Campus Tour,10,TRUE,FALSE,deciduous,Rounded,Opposite,Compound,TRUE,Green,Keys,North America,,,Yellow
Chinese Elm,Ulmus parvifolia,00756_Ulmus_parvifolia.JPG,"Native to China, Korea, and Japan, this tree is tolerant of drought, soil, light conditions, and air pollution.  It has good resistance to Dutch Elm Disease, a fungi spread by the elm bark beetle.  The wood is the hardest of all elm trees thus it used in furniture and ?ooring.  It is also used as a bonsai tree.",756,3,Central Campus Tour,11,FALSE,FALSE,deciduous,"Broad, Rounded",Alternate,Toothed Simple,TRUE,Green,Keys,"China, India, Japan, Korea, Vietnam",,,"Red, Purple"
Fire thorn,Pyracantha coccinea,00771_Pyracantha coccinea.JPG,"Native to southern Europe and western Asia, this tree has small, white ?owers and produces small, bright, red berries.  The fruit is bitter and astringent, making it inedible when raw, but can be cooked to make jellies, jams, sauces, and marmalade. Since the 1700s A.D. in England, the tree was used to cover unsightly walls.",771,3,Central Campus Tour,12,TRUE,TRUE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,White,Berrylike Fruit,"Asian, Europe",,,Green
Cherry Laurel,Prunus laurocerasus,04922_Prunus_laurocerasus.JPG,"Native to regions bordering the Black Sea, this tree is often used for hedges, screening, and as a massed landscape plant.  Its rapid growth and tolerance of drought and shade often allow it to out-compete and kill off native plant species.  Laurel water, a distillation made from the plant, has a pharmacological usage.",4922,3,Central Campus Tour,13,FALSE,TRUE,coniferous,Rounded,Alternate,Toothed Simple,TRUE,Yellow,Berrylike Fruit,"Asia, Europe",,,Green
Bradford Pear,Pyrus calleryana,04756_Pyrus_calleryana.JPG,"Native to Vietnam and China, the tree is an invasive species in areas of eastern North America, out competing many native plants and trees.  The tree is known for its pungent, often unpleasant smell.  The timber is prized for making woodwind instruments and its veneer is used in ?ne furniture.  ",4756,3,Central Campus Tour,14,FALSE,TRUE,deciduous,"Oval, Rounded",Alternate,Toothed Simple,TRUE,White,Fleshy Fruit,"China, Vietnam",,,"Yellow, Red, Orange, Purple"
Japanese red cedar,Cryptomeria japonica,04937_Cryptomeria_japonica.JPG,"This large evergreen tree is the national tree of Japan.  The timber is extremely fragrant, weather and insect resistant, soft, and with a low density; it is favored for light construction as it is easy to saw and season.",4937,3,Central Campus Tour,15,FALSE,FALSE,coniferous,"Pyramid, Oval",Whorled,Needle Leaf Conifers,TRUE,"Green, Brown",Cones,"China, Japan",,,Green
